TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
BRK.A,2022,2022,FY,-22058000000,10899000000,0,0,-14916000000,0,-4779000000,0,-10137000000,63299000000,37224000000,-15464000000,-10594000000,-251852000000,190070000000,239000000,-87601000000,-3928000000,0,-7854000000,0,10120000000,-1662000000,-268000000,-52307000000,37224000000,-15464000000,21760000000
BRK.A,2021,2021,FY,90807000000,10718000000,0,0,18869000000,-5834000000,0,0,24703000000,-80973000000,39421000000,-13276000000,-456000000,-161085000000,203439000000,770000000,29392000000,-7048000000,0,-27061000000,0,5601000000,-28508000000,5000000,40310000000,39421000000,-13276000000,26145000000
BRK.A,2020,2020,FY,43253000000,10596000000,0,0,15566000000,-1609000000,0,0,17175000000,-29642000000,39773000000,-13012000000,-2532000000,-238590000000,220338000000,-3961000000,-37757000000,-6461000000,0,-24706000000,0,12823000000,-18344000000,92000000,-16236000000,39773000000,-13012000000,26761000000
BRK.A,2019,2019,FY,81792000000,10064000000,0,0,19208000000,-2303000000,0,0,21511000000,-72377000000,38687000000,-15979000000,-1683000000,-154765000000,168032000000,-1226000000,-5621000000,-7733000000,0,-4850000000,0,13313000000,730000000,25000000,33821000000,38687000000,-15979000000,22708000000
BRK.A,2018,2018,FY,4322000000,9779000000,0,0,-1813000000,-3443000000,0,0,-3783000000,25112000000,37400000000,-14537000000,-3279000000,-185054000000,171521000000,-1500000000,-32849000000,-11608000000,0,-1346000000,0,7142000000,-5812000000,-140000000,-1401000000,37400000000,-14537000000,22863000000
BRK.A,2017,2017,FY,45353000000,9188000000,0,0,-7813000000,-1990000000,0,0,-32611000000,-952000000,45776000000,-11708000000,-2708000000,-178818000000,155566000000,-3423000000,-41091000000,-9014000000,0,0,0,7616000000,-1398000000,248000000,3535000000,45776000000,-11708000000,34068000000
BRK.A,2016,2016,FY,24427000000,8901000000,0,0,6921000000,-3302000000,0,0,4883000000,-7714000000,32535000000,-12954000000,-31399000000,-113076000000,73398000000,-236000000,-84267000000,-4700000000,0,0,0,17491000000,12791000000,-172000000,-39113000000,32535000000,-12954000000,19581000000
BRK.A,2015,2015,FY,24414000000,7779000000,0,0,7920000000,-1650000000,0,0,5916000000,-8622000000,31491000000,-16082000000,-4902000000,-23664000000,17502000000,478000000,-26668000000,-5468000000,0,0,0,9271000000,3803000000,-165000000,8461000000,31491000000,-16082000000,15409000000
BRK.A,2014,2014,FY,20170000000,7370000000,0,0,8386000000,-1890000000,0,0,1713000000,-3916000000,32010000000,-15185000000,-4824000000,-17788000000,17388000000,1040000000,-19369000000,-4694000000,0,0,0,7425000000,2731000000,-289000000,15083000000,32010000000,-15185000000,16825000000
BRK.A,2013,2013,FY,19845000000,6508000000,0,0,5043000000,1035000000,0,0,2911000000,-3692000000,27704000000,-11087000000,-6431000000,-28354000000,19383000000,-1046000000,-27535000000,-8273000000,0,0,0,9234000000,961000000,64000000,1194000000,27704000000,-11087000000,16617000000
