TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
KO,2022,2022,FY,9571000000,1260000000,-122000000,356000000,-605000000,-69000000,-960000000,759000000,-335000000,558000000,11018000000,-1484000000,385000000,-3751000000,4771000000,-684000000,-763000000,-4930000000,837000000,-1418000000,-7616000000,2877000000,-10250000000,-205000000,-200000000,11018000000,-1484000000,9534000000
KO,2021,2021,FY,9804000000,1452000000,894000000,337000000,1325000000,-225000000,-135000000,2843000000,-1158000000,-1187000000,12625000000,-1367000000,-2586000000,-6030000000,7059000000,159000000,-2765000000,-12866000000,702000000,-111000000,-7252000000,12741000000,-6786000000,-159000000,2915000000,12625000000,-1367000000,11258000000
KO,2020,2020,FY,7768000000,1536000000,-18000000,126000000,690000000,882000000,99000000,-860000000,569000000,-258000000,9844000000,-1177000000,-863000000,-13583000000,13835000000,311000000,-1477000000,-28796000000,647000000,-118000000,-7047000000,27244000000,-8070000000,76000000,373000000,9844000000,-1177000000,8667000000
KO,2019,2019,FY,8985000000,1365000000,-280000000,201000000,366000000,-158000000,-183000000,1318000000,-611000000,-166000000,10471000000,-2054000000,-5113000000,-4704000000,6973000000,922000000,-3976000000,-24850000000,1012000000,-1103000000,-6845000000,22782000000,-9004000000,-72000000,-2581000000,10471000000,-2054000000,8417000000
KO,2018,2018,FY,6434000000,1086000000,-450000000,225000000,-1202000000,66000000,-171000000,-289000000,-575000000,1534000000,7627000000,-1347000000,322000000,-7789000000,14977000000,-236000000,5927000000,-30568000000,1476000000,-1912000000,-6644000000,27301000000,-10347000000,-262000000,2945000000,7627000000,-1347000000,6280000000
KO,2017,2017,FY,1248000000,1260000000,-1256000000,219000000,3529000000,-141000000,-355000000,-445000000,4052000000,2106000000,7106000000,-1675000000,-79000000,-16520000000,15911000000,-87000000,-2450000000,-28768000000,1595000000,-3682000000,-6320000000,29728000000,-7447000000,242000000,-2549000000,7106000000,-1675000000,5431000000
KO,2016,2016,FY,6527000000,1787000000,-856000000,258000000,-221000000,-28000000,-142000000,-540000000,-544000000,1301000000,8796000000,-2262000000,197000000,-15499000000,16624000000,-59000000,-999000000,-25615000000,1434000000,-3681000000,-6043000000,27360000000,-6545000000,-6000000,1246000000,8796000000,-2262000000,6534000000
KO,2015,2015,FY,7351000000,1970000000,73000000,236000000,-157000000,-212000000,-250000000,1004000000,-516000000,1055000000,10528000000,-2553000000,-1926000000,-15831000000,14079000000,45000000,-6186000000,-37738000000,1245000000,-3564000000,-5741000000,40685000000,-5113000000,-878000000,-1649000000,10528000000,-2553000000,7975000000
KO,2014,2014,FY,7098000000,1976000000,-40000000,209000000,-439000000,-253000000,35000000,-250000000,-316000000,1811000000,10615000000,-2406000000,-241000000,-17800000000,12986000000,-45000000,-7506000000,-36962000000,1532000000,-4162000000,-5350000000,41311000000,-3631000000,-934000000,-1456000000,10615000000,-2406000000,8209000000
KO,2013,2013,FY,8584000000,1977000000,648000000,227000000,-932000000,28000000,-105000000,-158000000,-556000000,38000000,10542000000,-2550000000,519000000,-14782000000,12791000000,-192000000,-4214000000,-38714000000,1328000000,-4832000000,-4969000000,43442000000,-3745000000,-611000000,1972000000,10542000000,-2550000000,7992000000
