TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
BAC,2022,2022,FY,237462000000,220788000000,458250000000,81021000000,0,0,539271000000,11510000000,69022000000,0,69022000000,1158371000000,0,-1238903000000,1238903000000,1272532000000,3050706000000,0,26932000000,0,0,-26932000000,26932000000,275982000000,0,0,-26932000000,2497615000000,252962000000,0,2777509000000,28397000000,58953000000,207003000000,-21156000000,0,273197000000,273197000000,3050706000000,0,3050706000000,1379159000000,302914000000,65452000000
BAC,2021,2021,FY,355365000000,299178000000,654543000000,87473000000,0,0,741563000000,10833000000,69022000000,0,69022000000,1229707000000,0,-103434000000,1206128000000,1222257000000,3169948000000,0,23753000000,0,0,-23753000000,23753000000,280117000000,0,0,-23753000000,23753000000,2852376000000,0,2899882000000,24708000000,62398000000,188064000000,-5104000000,0,270066000000,270066000000,3169948000000,0,3169948000000,1425451000000,303870000000,-51495000000
BAC,2020,2020,FY,387009000000,234491000000,621500000000,81157000000,0,0,702657000000,11000000000,68951000000,0,68951000000,883704000000,0,-963655000000,963655000000,1153315000000,2819627000000,0,19321000000,0,0,-19321000000,19321000000,262934000000,0,0,-19321000000,19321000000,2508061000000,0,2546703000000,24510000000,85982000000,164088000000,-1656000000,0,272924000000,272924000000,2819627000000,0,2819627000000,1118195000000,282255000000,-104754000000
BAC,2019,2019,FY,168667000000,245639000000,414306000000,75658000000,0,0,489964000000,10561000000,68951000000,0,68951000000,702023000000,0,-781535000000,781535000000,1162580000000,2434079000000,0,24204000000,0,0,-24204000000,24204000000,240856000000,0,0,-24204000000,24204000000,2120861000000,0,2169269000000,23401000000,91723000000,156319000000,-6633000000,0,264810000000,264810000000,2434079000000,0,2434079000000,947662000000,265060000000,96393000000
BAC,2018,2018,FY,184898000000,229366000000,414264000000,88194000000,0,0,0,9906000000,68951000000,0,68951000000,536738000000,0,0,0,2354507000000,2354507000000,0,20189000000,0,0,0,0,229340000000,0,0,0,0,2089182000000,0,2089182000000,22326000000,118896000000,136314000000,-12211000000,0,265325000000,265325000000,2354507000000,0,2354507000000,766104000000,249529000000,64631000000
BAC,2017,2017,FY,168587000000,302631000000,471218000000,83580000000,0,0,0,9247000000,68951000000,2302000000,71253000000,543214000000,0,0,0,2281234000000,2281234000000,0,32666000000,0,0,0,0,227402000000,0,0,0,0,2014088000000,0,2014088000000,22323000000,138089000000,113816000000,-7082000000,0,267146000000,267146000000,2281234000000,0,2281234000000,845845000000,260068000000,91481000000
BAC,2016,2016,FY,157599000000,293940000000,451539000000,80996000000,0,0,0,9139000000,68969000000,5669000000,74638000000,504883000000,0,0,0,2187702000000,2187702000000,0,23944000000,0,0,0,0,216823000000,0,0,0,0,1920862000000,0,1920862000000,25220000000,147038000000,101870000000,-7288000000,0,266840000000,266840000000,2187702000000,0,2187702000000,798823000000,240767000000,83168000000
BAC,2015,2015,FY,167097000000,322380000000,489477000000,85518000000,0,0,0,9485000000,69761000000,6855000000,76616000000,583532000000,0,0,0,2144316000000,2144316000000,0,28098000000,0,0,0,0,236764000000,0,0,0,0,1888111000000,0,1888111000000,22273000000,151042000000,88564000000,-5674000000,0,256205000000,256205000000,2144316000000,0,2144316000000,905912000000,264862000000,97765000000
BAC,2014,2014,FY,146099000000,320695000000,466794000000,86558000000,0,0,0,10049000000,69777000000,8142000000,77919000000,572246000000,0,0,0,2104534000000,2104534000000,0,31172000000,0,0,0,0,243139000000,0,0,0,0,1861063000000,0,1861063000000,19309000000,153458000000,75024000000,-4320000000,0,243471000000,243471000000,2104534000000,0,2104534000000,892941000000,274311000000,128212000000
BAC,2013,2013,FY,142862000000,268795000000,411657000000,84529000000,0,0,0,10475000000,69844000000,10626000000,80470000000,524938000000,0,0,0,2102273000000,2102273000000,0,45999000000,0,0,0,0,249674000000,0,0,0,0,1869588000000,0,1869588000000,13352000000,155293000000,72497000000,-8457000000,0,232685000000,232685000000,2102273000000,0,2102273000000,793733000000,295673000000,152811000000
BAC,2012,2012,FY,129446000000,286906000000,416352000000,95232000000,0,0,0,11858000000,69976000000,12535000000,82511000000,573613000000,0,0,0,2209974000000,2209974000000,0,30731000000,0,0,0,0,275585000000,0,0,0,0,1973018000000,0,1973018000000,18768000000,158142000000,62843000000,-2797000000,0,236956000000,236956000000,2209974000000,0,2209974000000,860519000000,306316000000,176870000000
BAC,2011,2011,FY,146106000000,276151000000,422257000000,88896000000,0,0,0,13637000000,69967000000,15531000000,85498000000,480735000000,0,0,0,2129046000000,2129046000000,0,35698000000,0,0,0,0,372265000000,0,0,0,0,1898945000000,0,1898945000000,18397000000,156621000000,60520000000,-5437000000,0,230101000000,230101000000,2129046000000,0,2129046000000,756886000000,407963000000,261857000000
BAC,2010,2010,FY,134860000000,337627000000,472487000000,107520000000,0,0,0,14306000000,73861000000,25100000000,98961000000,532725000000,0,0,0,2264909000000,2264909000000,0,59962000000,0,0,0,0,448431000000,0,0,0,0,2036661000000,0,2036661000000,16562000000,150905000000,60849000000,-66000000,-2000000,228248000000,228248000000,2264909000000,0,2264909000000,870352000000,508393000000,373533000000
BAC,2009,2009,FY,145541000000,301601000000,447142000000,103904000000,0,0,0,15500000000,86314000000,31800000000,118114000000,493647000000,0,0,0,2223299000000,2223299000000,0,69524000000,0,0,0,0,438521000000,0,0,0,0,1991855000000,0,1991855000000,37208000000,128734000000,71233000000,-5619000000,-112000000,231444000000,231444000000,2223299000000,0,2223299000000,795248000000,508045000000,362504000000
BAC,2008,2008,FY,42427000000,276904000000,319331000000,22177000000,0,0,0,13161000000,81934000000,21591000000,103525000000,437111000000,0,0,0,1817943000000,1817943000000,0,158056000000,0,0,0,0,268292000000,0,0,0,0,1640891000000,0,1640891000000,37701000000,76766000000,73823000000,-10825000000,-413000000,177052000000,177052000000,1817943000000,0,1817943000000,714015000000,426348000000,383921000000
BAC,2007,2007,FY,54304000000,213330000000,267634000000,22364000000,0,0,0,11240000000,77530000000,13643000000,91173000000,376120000000,0,0,0,1715746000000,1715746000000,0,191089000000,0,0,0,0,197508000000,0,0,0,0,1568943000000,0,1568943000000,4409000000,60328000000,81393000000,1129000000,-456000000,146803000000,146803000000,1715746000000,0,1715746000000,589450000000,388597000000,334293000000
BAC,2006,2006,FY,50381000000,192806000000,243187000000,21647000000,0,0,0,9255000000,65662000000,12467000000,78129000000,345898000000,0,0,0,1459737000000,1459737000000,0,141300000000,0,0,0,0,146000000000,0,0,0,0,1324465000000,0,1324465000000,2851000000,61574000000,79024000000,-7711000000,-466000000,135272000000,135272000000,1459737000000,0,1459737000000,538704000000,287300000000,236919000000
BAC,2005,2005,FY,49799000000,0,49799000000,0,0,0,0,7786000000,0,0,51354000000,377022000000,0,0,0,1291803000000,1291803000000,0,116269000000,0,0,0,0,100848000000,0,0,0,0,1190270000000,0,1190270000000,271000000,41693000000,67552000000,-7983000000,0,101533000000,101533000000,1291803000000,0,1291803000000,0,217117000000,167318000000
BAC,2004,2004,FY,41297000000,0,41297000000,0,0,0,0,7517000000,0,0,49149000000,318895000000,0,0,0,1110457000000,1110457000000,0,78598000000,0,0,0,0,98078000000,0,0,0,0,1010812000000,0,1010812000000,271000000,44236000000,58006000000,-2868000000,0,99645000000,99645000000,1110457000000,0,1110457000000,0,176676000000,135379000000
BAC,2003,2003,FY,35135000000,0,35135000000,0,0,0,0,6036000000,0,0,12363000000,136787000000,0,0,0,736445000000,736445000000,0,42478000000,0,0,0,0,75343000000,0,0,0,0,688465000000,0,688465000000,54000000,14000000,50213000000,-2301000000,0,47980000000,47980000000,736445000000,0,736445000000,0,117821000000,82686000000
BAC,2002,2002,FY,31786000000,0,31786000000,0,0,0,0,6717000000,0,0,12484000000,133144000000,0,0,0,660458000000,660458000000,0,25234000000,0,0,0,0,67176000000,0,0,0,0,610139000000,0,610139000000,58000000,496000000,48517000000,1248000000,0,50319000000,50319000000,660458000000,0,660458000000,0,92410000000,60624000000
BAC,2001,2001,FY,32769000000,0,32769000000,2800000000,0,567633000000,603202000000,6414000000,0,0,0,0,0,12148000000,18562000000,0,621764000000,0,22217000000,0,0,483001000000,505218000000,68026000000,0,0,0,68026000000,0,0,573244000000,0,5076000000,42980000000,0,464000000,48520000000,48520000000,621764000000,0,621764000000,0,90243000000,57474000000
BAC,2000,2000,FY,32961000000,0,32961000000,4432000000,0,585223000000,622616000000,6433000000,0,0,0,0,0,13142000000,19575000000,0,642191000000,0,42198000000,0,0,479863000000,522061000000,72502000000,0,0,0,72502000000,0,0,594563000000,0,8613000000,39815000000,0,-800000000,47628000000,47628000000,642191000000,0,642191000000,0,114700000000,81739000000
BAC,1999,1999,FY,31827000000,0,31827000000,3777000000,0,576265000000,611869000000,6713000000,0,0,0,0,0,13992000000,20705000000,0,632574000000,0,47671000000,0,0,480030000000,527701000000,60441000000,0,0,0,60441000000,0,0,588142000000,0,11671000000,35681000000,0,-2920000000,44432000000,44432000000,632574000000,0,632574000000,0,108112000000,76285000000
