TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
PG,2022,2022,FY,7214000000,0,7214000000,5143000000,6924000000,2372000000,21653000000,21195000000,39700000000,23679000000,63379000000,0,0,10981000000,95555000000,0,117208000000,14882000000,8645000000,587000000,0,9554000000,33081000000,22848000000,0,6809000000,13746000000,37273000000,0,800000000,70354000000,843000000,4009000000,112429000000,-13105000000,-57322000000,46854000000,46854000000,117473000000,0,117473000000,0,31493000000,24279000000
PG,2021,2021,FY,10288000000,0,10288000000,4725000000,5983000000,2095000000,23091000000,21686000000,40924000000,23642000000,64566000000,0,0,9964000000,96216000000,0,119307000000,13720000000,8889000000,637000000,0,10523000000,33132000000,23099000000,0,6153000000,16912000000,39521000000,0,631000000,72653000000,870000000,4009000000,106374000000,-14750000000,-49849000000,46654000000,46654000000,119583000000,0,119583000000,0,31988000000,21700000000
PG,2020,2020,FY,16181000000,0,16181000000,4178000000,5498000000,2130000000,27987000000,20692000000,39901000000,23792000000,63693000000,0,0,8328000000,92713000000,0,120700000000,12071000000,11183000000,693000000,0,9722000000,32976000000,23537000000,0,6199000000,17592000000,40846000000,0,652000000,73822000000,897000000,4009000000,100239000000,-17245000000,-41022000000,46878000000,46878000000,121057000000,0,121057000000,0,34720000000,18539000000
PG,2019,2019,FY,4239000000,6048000000,10287000000,4951000000,5017000000,2218000000,22473000000,21271000000,40273000000,24215000000,64488000000,0,0,6863000000,92622000000,0,115095000000,11260000000,9697000000,341000000,0,9054000000,30011000000,20395000000,0,6899000000,16548000000,37505000000,0,33000000,67516000000,928000000,4009000000,94918000000,-16082000000,-36784000000,46989000000,46989000000,114890000000,0,114890000000,6048000000,30092000000,25853000000
PG,2018,2018,FY,2569000000,9281000000,11850000000,4686000000,4738000000,2046000000,23320000000,20600000000,45175000000,23902000000,69077000000,0,0,5313000000,94990000000,0,118310000000,10344000000,10401000000,0,0,7492000000,28237000000,20778000000,0,6163000000,10249000000,37190000000,0,107000000,65427000000,967000000,4009000000,98641000000,-14749000000,-36575000000,52293000000,52293000000,117720000000,0,117720000000,0,31179000000,28610000000
PG,2017,2017,FY,5569000000,9568000000,15137000000,4594000000,4624000000,2139000000,26494000000,19893000000,44699000000,24187000000,68886000000,0,0,5133000000,93912000000,0,120406000000,9632000000,13541000000,0,0,7037000000,30210000000,18000000000,0,8126000000,8292000000,34418000000,0,51000000,64628000000,1006000000,4009000000,96124000000,-14632000000,-31323000000,55184000000,55184000000,119812000000,0,119812000000,0,31541000000,25972000000
PG,2016,2016,FY,7102000000,6246000000,13348000000,4373000000,4716000000,11345000000,33782000000,19385000000,44350000000,24527000000,68877000000,0,0,5092000000,93354000000,0,127136000000,9325000000,11637000000,0,0,9808000000,30770000000,18916000000,0,9113000000,10354000000,38383000000,0,45000000,69153000000,1038000000,4009000000,87953000000,-15907000000,-19752000000,57341000000,57341000000,126494000000,0,126494000000,0,30553000000,23451000000
PG,2015,2015,FY,6845000000,4767000000,11612000000,4861000000,5454000000,7719000000,29646000000,20268000000,47316000000,26829000000,74145000000,0,0,5436000000,99849000000,0,129495000000,8257000000,12001000000,0,0,9532000000,29790000000,18297000000,0,9531000000,8827000000,36655000000,0,52000000,66445000000,1077000000,4009000000,84807000000,-12780000000,-14694000000,62419000000,62419000000,128864000000,0,128864000000,0,30298000000,23453000000
PG,2014,2014,FY,8558000000,2128000000,10686000000,6386000000,6759000000,7786000000,31617000000,22304000000,53704000000,30843000000,84547000000,0,0,5798000000,112649000000,0,144266000000,8461000000,15587000000,0,0,9678000000,33726000000,19747000000,0,10218000000,10599000000,40564000000,0,83000000,74290000000,1111000000,4009000000,84990000000,-7662000000,-13234000000,69214000000,69214000000,143504000000,0,143504000000,0,35334000000,26776000000
PG,2013,2013,FY,5947000000,0,5947000000,6508000000,6909000000,4626000000,23990000000,21666000000,55188000000,31572000000,86760000000,0,0,6847000000,115273000000,0,139263000000,8777000000,12427000000,0,0,8833000000,30037000000,19085000000,0,10827000000,10605000000,40517000000,0,31000000,70554000000,1137000000,4009000000,80197000000,-7499000000,-9780000000,68064000000,68064000000,138618000000,0,138618000000,0,31512000000,25565000000
