TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
KO,2022,2022,FY,43004000000,18000000000,25004000000,0.5814342852,0,356000000,7086000000,12880000000,1215000000,14095000000,32095000000,449000000,882000000,2919000000,13828000000,0.3215514836,10909000000,0.2536740768,777000000,11686000000,0.2717421635,2115000000,9542000000,0.2218863362,2.2,2.19,4328000000,4350000000
KO,2021,2021,FY,38655000000,15357000000,23298000000,0.6027163368,0,337000000,6672000000,12144000000,846000000,12990000000,28347000000,276000000,1597000000,1452000000,15474000000,0.4003104385,14022000000,0.3627473807,-1597000000,12425000000,0.321433191,2621000000,9771000000,0.252774544,2.26,2.25,4315000000,4340000000
KO,2020,2020,FY,33014000000,13433000000,19581000000,0.5931120131,0,126000000,5415000000,9731000000,853000000,10584000000,24017000000,370000000,1437000000,3725000000,12722000000,0.385351669,8997000000,0.2725207488,752000000,9749000000,0.2952989641,1981000000,7747000000,0.2346580239,1.8,1.79,4295000000,4323000000
KO,2019,2019,FY,37266000000,14619000000,22647000000,0.6077121237,0,201000000,7119000000,12103000000,458000000,12561000000,27180000000,563000000,946000000,3011000000,13097000000,0.3514463586,10086000000,0.2706488488,700000000,10786000000,0.2894327269,1801000000,8920000000,0.2393602748,2.09,2.07,4276000000,4314000000
KO,2018,2018,FY,31856000000,11770000000,20086000000,0.630524861878453,0,225000000,5814000000,6039000000,-2000000,10745000000,22075000000,682000000,919000000,1086000000,10062000000,0.3158588648920141,8700000000,0.2731039678553491,-350000000,8350000000,0.26211702661978903,1623000000,6434000000,0.2019713711702662,1.51,1.5,4259000000,4299000000
KO,2017,2017,FY,35410000000,13256000000,22154000000,0.6256424738774358,0,219000000,7215000000,7434000000,231000000,13152000000,25983000000,677000000,841000000,1260000000,8909000000,0.2515955944648404,7501000000,0.21183281558881673,-759000000,6742000000,0.1903981926009602,5560000000,1248000000,0.035244281276475574,0.29,0.29,4272000000,4324000000
KO,2016,2016,FY,41863000000,16465000000,25398000000,0.606693261352507,0,258000000,9181000000,9439000000,0,15800000000,31727000000,642000000,733000000,1787000000,10633000000,0.25399517473664096,8626000000,0.20605307789694957,-490000000,8136000000,0.19434823113489239,1586000000,6527000000,0.15591333635907603,1.51,1.49,4317000000,4367000000
KO,2015,2015,FY,44294000000,17482000000,26812000000,0.6053190048313541,0,236000000,10001000000,10237000000,0,17163000000,33909000000,613000000,856000000,1970000000,12416000000,0.28030884544182055,8728000000,0.19704700410890866,877000000,9605000000,0.21684652548877953,2239000000,7351000000,0.16595927213618097,1.69,1.67,4352000000,4405000000
KO,2014,2014,FY,45998000000,17889000000,28109000000,0.6110917865994173,0,209000000,11880000000,12089000000,0,17842000000,35107000000,594000000,483000000,1976000000,11758000000,0.25561980955693725,9708000000,0.21105265446323754,-383000000,9325000000,0.20272620548719508,2201000000,7098000000,0.15431105700247838,1.62,1.6,4387000000,4450000000
KO,2013,2013,FY,46854000000,18421000000,28433000000,0.6068425321210569,0,227000000,11776000000,12003000000,0,17822000000,35731000000,534000000,463000000,1977000000,13875000000,0.2961326674350109,10228000000,0.21829512955137234,1249000000,11477000000,0.24495240534426088,2851000000,8584000000,0.18320741025312673,1.94,1.9,4434000000,4509000000
