TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
PG,2022,2022,FY,80187000000,42157000000,38030000000,0.4742664023,0,0,0,20217000000,0,20217000000,62374000000,51000000,439000000,3428000000,21241000000,0.2648933119,17813000000,0.2221432402,182000000,17995000000,0.2244129348,3202000000,14742000000,0.1838452617,6.0,5.81,2410300000,2539100000
PG,2021,2021,FY,76118000000,37108000000,39010000000,0.5124937597,0,0,0,21024000000,0,21024000000,58132000000,45000000,502000000,2866000000,20852000000,0.2739430884,17986000000,0.2362910218,-371000000,17615000000,0.2314170104,3263000000,14306000000,0.1879450327,5.69,5.5,2465800000,2601000000
PG,2020,2020,FY,70950000000,35250000000,35700000000,0.5031712474,0,0,0,19994000000,0,19994000000,55244000000,155000000,465000000,3606000000,19312000000,0.2721916843,15706000000,0.22136716,128000000,15834000000,0.2231712474,2731000000,13027000000,0.1836081748,5.13,4.96,2487100000,2625800000
PG,2019,2019,FY,67684000000,34768000000,32916000000,0.4863187755,0,0,0,19084000000,0,19084000000,53852000000,220000000,509000000,2824000000,17747000000,0.2622037705,14923000000,0.2204804681,-8854000000,6069000000,0.0896666864,2103000000,3897000000,0.0575763844,1.45,1.43,2503600000,2539500000
PG,2018,2018,FY,66832000000,34268000000,32564000000,0.487251615992339,0,18853000000,0,18853000000,0,18853000000,53121000000,247000000,506000000,2834000000,16555000000,0.247710677519751,13711000000,0.20515621259276992,-385000000,13326000000,0.19939549916207805,3465000000,9750000000,0.1458881972707685,3.75,3.67,2529300000,2656700000
PG,2017,2017,FY,65058000000,32535000000,32523000000,0.4999077746011252,0,18568000000,0,18568000000,0,18568000000,51103000000,171000000,465000000,2820000000,21674000000,0.3331488825355836,13955000000,0.21450090688308893,-698000000,13257000000,0.20377201881398138,3063000000,15326000000,0.23557441052599218,5.8,5.59,2642413793,2740400000
PG,2016,2016,FY,65299000000,32909000000,32390000000,0.4960259728326621,0,18949000000,0,18949000000,0,18949000000,51858000000,182000000,579000000,3078000000,17507000000,0.26810517772094516,13441000000,0.20583776168088333,-72000000,13369000000,0.20473514142636182,3342000000,10508000000,0.16092130047933353,3.8,3.69,2765263158,2844400000
PG,2015,2015,FY,76279000000,38876000000,37403000000,0.4903446558030388,0,23585000000,0,23585000000,0,23585000000,62461000000,151000000,626000000,3134000000,13712000000,0.17976114002543295,11790000000,0.1545641657599077,56000000,11846000000,0.15529831277284706,2916000000,7036000000,0.09224032826859292,2.5,2.44,2814400000,2883600000
PG,2014,2014,FY,83062000000,42460000000,40602000000,0.48881558354000626,0,25314000000,0,25314000000,0,25314000000,67774000000,100000000,709000000,3141000000,18671000000,0.22478389636656956,15288000000,0.18405528400471938,-403000000,14885000000,0.17920348655221402,3178000000,11643000000,0.140172401338759,4.19,4.01,2778758950,2904700000
PG,2013,2013,FY,84167000000,42428000000,41739000000,0.4959069469031806,0,26950000000,0,26950000000,0,26950000000,69378000000,87000000,667000000,2982000000,18402000000,0.21863675787422623,14481000000,0.17205080375919304,362000000,14843000000,0.17635177682464623,3441000000,11312000000,0.1343994677248803,4.04,3.86,2800000000,2930600000
PG,2012,2012,FY,83680000000,42391000000,41289000000,0.49341539196940726,0,26421000000,0,26421000000,0,26421000000,68812000000,0,769000000,3204000000,18197000000,0.2174593690248566,13292000000,0.1588432122370937,-507000000,12785000000,0.15278441682600383,3468000000,10756000000,0.12853728489483748,3.82,3.66,2815706806,2941200000
